date,1. open,2. high,3. low,4. close,5. volume
2020-07-24,7.02,7.11,6.82,6.86,65449459.0
2020-07-27,6.84,6.85,6.69,6.71,70703977.0
2020-07-28,6.7,6.96,6.69,6.89,76033649.0
2020-07-29,6.99,7.0,6.52,6.59,148442381.0
2020-07-30,6.5,6.51,6.26,6.26,127526921.0
2020-07-31,6.25,6.29,6.0,6.07,142731657.0
2020-08-03,6.14,6.19,6.02,6.11,89769458.0
2020-08-04,6.1,6.2,6.1,6.14,71041755.0
2020-08-05,6.17,6.4,6.14,6.4,106612741.0
2020-08-06,6.33,6.42,6.28,6.33,69915675.0
2020-08-07,6.29,6.46,6.25,6.4,83064872.0
2020-08-10,6.43,6.7,6.38,6.67,94345023.0
2020-08-11,6.87,7.0,6.69,6.73,93141505.0
2020-08-12,6.87,6.88,6.58,6.72,70186469.0
2020-08-13,6.59,6.76,6.585,6.6,53428517.0
2020-08-14,6.54,6.72,6.47,6.66,50397190.0
2020-08-17,6.67,6.69,6.45,6.47,58459873.0
2020-08-18,6.49,6.57,6.41,6.44,42686043.0
2020-08-19,6.47,6.57,6.35,6.38,54361951.0
2020-08-20,6.33,6.3769,6.21,6.27,63763962.0
2020-08-21,6.25,6.38,6.23,6.31,59851459.0
2020-08-24,6.35,6.64,6.3,6.63,102785415.0
2020-08-25,6.65,6.7,6.48,6.59,69449105.0
2020-08-26,6.62,6.62,6.44,6.48,57303986.0
2020-08-27,6.52,6.63,6.45,6.48,73387919.0
2020-08-28,6.51,6.62,6.47,6.61,59161658.0
2020-08-31,6.51,6.69,6.26,6.34,141872968.0
2020-09-01,6.27,6.4,6.15,6.19,93296864.0
2020-09-02,6.2,6.45,6.17,6.44,83816608.0
2020-09-03,6.39,6.65,6.28,6.32,94124921.0
2020-09-04,6.43,6.56,6.26,6.42,89675872.0
2020-09-08,6.32,6.36,6.13,6.14,120646029.0
2020-09-09,6.2,6.2,6.02,6.16,109044349.0
2020-09-10,6.17,6.2,6.0,6.0,97324843.0
2020-09-11,6.04,6.05,5.93,5.95,71918590.0
2020-09-14,5.99,6.16,5.96,6.15,74002058.0
2020-09-15,6.17,6.22,6.02,6.1,85966580.0
